datetimestr,Demand,CustomerID
01FEB2017:07:15,4467.1,1515
01FEB2017:07:30,4484.8,1515
01FEB2017:07:45,4500.8,1515
01FEB2017:08:00,4551.2,1515
01FEB2017:08:15,4495.2,1515
01FEB2017:08:30,4546.8,1515
01FEB2017:08:45,4539.4,1515
01FEB2017:09:00,4572.4,1515
01FEB2017:09:15,4570.0,1515
01FEB2017:09:30,4575.6,1515
01FEB2017:09:45,4575.2,1515
01FEB2017:10:00,4636.8,1515
01FEB2017:10:15,4626.4,1515
01FEB2017:10:30,4704.3,1515
01FEB2017:10:45,4684.0,1515
01FEB2017:11:00,4727.3,1515
01FEB2017:11:15,4704.3,1515
01FEB2017:11:30,4745.9,1515
01FEB2017:11:45,4750.1,1515
01FEB2017:12:00,4782.6,1515
01FEB2017:12:15,4728.2,1515
01FEB2017:12:30,4773.5,1515
01FEB2017:12:45,4825.8,1515
01FEB2017:13:00,4862.0,1515
01FEB2017:13:15,4801.4,1515
01FEB2017:13:30,4784.3,1515
01FEB2017:13:45,4835.7,1515
01FEB2017:14:00,4836.6,1515
01FEB2017:14:15,4807.6,1515
01FEB2017:14:30,4789.5,1515
01FEB2017:14:45,4791.7,1515
01FEB2017:15:00,4830.9,1515
01FEB2017:15:15,4790.3,1515
01FEB2017:15:30,4794.9,1515
01FEB2017:15:45,4784.7,1515
01FEB2017:16:00,4827.9,1515
01FEB2017:16:15,4740.2,1515
01FEB2017:16:30,4781.5,1515
01FEB2017:16:45,4765.0,1515
01FEB2017:17:00,4784.1,1515
01FEB2017:17:15,4737.3,1515
01FEB2017:17:30,4750.8,1515
01FEB2017:17:45,4752.9,1515
01FEB2017:18:00,4739.4,1515
01FEB2017:18:15,4688.6,1515
01FEB2017:18:30,4667.7,1515
01FEB2017:18:45,4645.2,1515
01FEB2017:19:00,4664.6,1515
01FEB2017:19:15,4605.1,1515
01FEB2017:19:30,4548.6,1515
01FEB2017:19:45,4506.3,1515
01FEB2017:20:00,4510.8,1515
01FEB2017:20:15,4437.3,1515
01FEB2017:20:30,4384.4,1515
01FEB2017:20:45,4366.6,1515
01FEB2017:21:00,4353.4,1515
01FEB2017:21:15,4257.1,1515
01FEB2017:21:30,4231.7,1515
01FEB2017:21:45,4193.3,1515
01FEB2017:22:00,4168.6,1515
01FEB2017:22:15,4054.2,1515
01FEB2017:22:30,4006.6,1515
01FEB2017:22:45,3934.3,1515
01FEB2017:23:00,3925.4,1515
01FEB2017:23:15,3810.4,1515
01FEB2017:23:30,3765.4,1515
01FEB2017:23:45,3708.5,1515
01JAN2017:00:00,3483.3,1515
01JAN2017:00:15,3370.8,1515
01JAN2017:00:30,3348.4,1515
01JAN2017:00:45,3317.7,1515
01JAN2017:01:00,3325.8,1515
01JAN2017:01:15,3324.7,1515
01JAN2017:01:30,3289.8,1515
01JAN2017:01:45,3308.4,1515
01JAN2017:02:00,3310.5,1515
01JAN2017:02:15,3324.4,1515
01JAN2017:02:30,3313.5,1515
01JAN2017:02:45,3298.3,1515
01JAN2017:03:00,3284.9,1515
01JAN2017:03:15,3349.3,1515
01JAN2017:03:30,3316.6,1515
01JAN2017:03:45,3328.9,1515
01JAN2017:04:00,3338.7,1515
01JAN2017:04:15,3404.0,1515
01JAN2017:04:30,3412.2,1515
01JAN2017:04:45,3420.7,1515
01JAN2017:05:00,3428.3,1515
01JAN2017:05:15,3642.5,1515
01JAN2017:05:30,3678.8,1515
01JAN2017:05:45,3709.7,1515
01JAN2017:06:00,3765.3,1515
01JAN2017:06:15,4079.2,1515
01JAN2017:06:30,4162.0,1515
01JAN2017:06:45,4197.2,1515
01JAN2017:07:00,4252.0,1515
01JAN2017:07:15,4255.6,1515
01JAN2017:07:30,4269.5,1515
01JAN2017:07:45,4306.2,1515
01JAN2017:08:00,4317.1,1515
01JAN2017:08:15,4357.7,1515
01JAN2017:08:30,4393.6,1515
01JAN2017:08:45,4409.3,1515
01JAN2017:09:00,4441.8,1515
01JAN2017:09:15,4413.6,1515
01JAN2017:09:30,4450.4,1515
01JAN2017:09:45,4448.4,1515
01JAN2017:10:00,4473.0,1515
01JAN2017:10:15,4465.8,1515
01JAN2017:10:30,4521.9,1515
01JAN2017:10:45,4525.8,1515
01JAN2017:11:00,4532.7,1515
01JAN2017:11:15,4490.0,1515
01JAN2017:11:30,4506.2,1515
01JAN2017:11:45,4526.9,1515
01JAN2017:12:00,4578.2,1515
01JAN2017:12:15,4512.5,1515
01JAN2017:12:30,4533.4,1515
01JAN2017:12:45,4595.3,1515
01JAN2017:13:00,4617.8,1515
01JAN2017:13:15,4586.8,1515
01JAN2017:13:30,4619.2,1515
01JAN2017:13:45,4580.6,1515
01JAN2017:14:00,4678.2,1515
01JAN2017:14:15,4575.9,1515
01JAN2017:14:30,4594.7,1515
01JAN2017:14:45,4566.2,1515
01JAN2017:15:00,4615.7,1515
01JAN2017:15:15,4556.6,1515
01JAN2017:15:30,4521.8,1515
01JAN2017:15:45,4560.6,1515
01JAN2017:16:00,4555.0,1515
01JAN2017:16:15,4544.7,1515
01JAN2017:16:30,4514.2,1515
01JAN2017:16:45,4553.6,1515
01JAN2017:17:00,4596.8,1515
01JAN2017:17:15,4525.8,1515
01JAN2017:17:30,4523.3,1515
01JAN2017:17:45,4498.2,1515
01JAN2017:18:00,4493.0,1515
01JAN2017:18:15,4445.1,1515
01JAN2017:18:30,4422.9,1515
01JAN2017:18:45,4409.0,1515
01JAN2017:19:00,4393.1,1515
01JAN2017:19:15,4310.2,1515
01JAN2017:19:30,4293.8,1515
01JAN2017:19:45,4270.4,1515
01JAN2017:20:00,4277.8,1515
01JAN2017:20:15,4183.4,1515
01JAN2017:20:30,4151.5,1515
01JAN2017:20:45,4136.9,1515
01JAN2017:21:00,4127.0,1515
01JAN2017:21:15,4036.9,1515
01JAN2017:21:30,4012.1,1515
01JAN2017:21:45,3966.0,1515
01JAN2017:22:00,3973.0,1515
01JAN2017:22:15,3884.0,1515
01JAN2017:22:30,3807.8,1515
01JAN2017:22:45,3785.6,1515
01JAN2017:23:00,3774.8,1515
01JAN2017:23:15,3705.0,1515
01JAN2017:23:30,3662.3,1515
01JAN2017:23:45,3620.9,1515
01JUL2017:00:00,3859.7,1515
01JUL2017:00:15,3875.9,1515
01JUL2017:00:30,3878.3,1515
01JUL2017:00:45,3826.2,1515
01JUL2017:01:00,3819.8,1515
01JUL2017:01:15,3892.7,1515
01JUL2017:01:30,3905.6,1515
01JUL2017:01:45,3947.4,1515
01JUL2017:02:00,3959.7,1515
01JUL2017:02:15,4010.6,1515
01JUL2017:02:30,4028.7,1515
01JUL2017:02:45,4068.0,1515
01JUL2017:03:00,4131.2,1515
01JUL2017:03:15,4282.5,1515
01JUL2017:03:30,4393.6,1515
01JUL2017:03:45,4460.0,1515
01JUL2017:04:00,4507.9,1515
01JUL2017:04:15,4819.3,1515
01JUL2017:04:30,4877.1,1515
01JUL2017:04:45,4892.6,1515
01JUL2017:05:00,4994.4,1515
01JUL2017:05:15,4964.4,1515
01JUL2017:05:30,5055.8,1515
01JUL2017:05:45,5151.7,1515
01JUL2017:06:00,5187.5,1515
01JUL2017:06:15,5157.6,1515
01JUL2017:06:30,5183.2,1515
01JUL2017:06:45,5212.8,1515
01JUL2017:07:00,5297.7,1515
01JUL2017:07:15,5279.9,1515
01JUL2017:07:30,5303.1,1515
01JUL2017:07:45,5327.7,1515
01JUL2017:08:00,5369.7,1515
01JUL2017:08:15,5377.2,1515
01JUL2017:08:30,5495.6,1515
01JUL2017:08:45,5522.9,1515
01JUL2017:09:00,5529.8,1515
01JUL2017:09:15,5535.6,1515
01JUL2017:09:30,5572.9,1515
01JUL2017:09:45,5643.3,1515
01JUL2017:10:00,5656.7,1515
01JUL2017:10:15,5620.5,1515
01JUL2017:10:30,5688.3,1515
01JUL2017:10:45,5761.3,1515
01JUL2017:11:00,5825.4,1515
01JUL2017:11:15,5790.5,1515
01JUL2017:11:30,5847.8,1515
01JUL2017:11:45,5880.3,1515
01JUL2017:12:00,5887.1,1515
01JUL2017:12:15,5886.0,1515
01JUL2017:12:30,5864.6,1515
01JUL2017:12:45,5842.2,1515
01JUL2017:13:00,5901.9,1515
01JUL2017:13:15,5844.2,1515
01JUL2017:13:30,5860.6,1515
01JUL2017:13:45,5872.5,1515
01JUL2017:14:00,5936.0,1515
01JUL2017:14:15,5830.5,1515
01JUL2017:14:30,5820.9,1515
01JUL2017:14:45,5790.8,1515
01JUL2017:15:00,5836.7,1515
01JUL2017:15:15,5766.2,1515
01JUL2017:15:30,5726.6,1515
01JUL2017:15:45,5650.1,1515
01JUL2017:16:00,5659.4,1515
01JUL2017:16:15,5560.8,1515
01JUL2017:16:30,5518.7,1515
01JUL2017:16:45,5477.8,1515
01JUL2017:17:00,5513.7,1515
01JUL2017:17:15,5408.6,1515
01JUL2017:17:30,5365.8,1515
01JUL2017:17:45,5282.0,1515
01JUL2017:18:00,5263.9,1515
01JUL2017:18:15,5149.8,1515
01JUL2017:18:30,5152.5,1515
01JUL2017:18:45,5120.4,1515
01JUL2017:19:00,5117.6,1515
01JUL2017:19:15,5015.4,1515
01JUL2017:19:30,4958.7,1515
01JUL2017:19:45,4868.7,1515
01JUL2017:20:00,4879.5,1515
01JUL2017:20:15,4730.2,1515
01JUL2017:20:30,4642.6,1515
01JUL2017:20:45,4550.0,1515
01JUL2017:21:00,4552.5,1515
01JUL2017:21:15,4433.4,1515
01JUL2017:21:30,4325.3,1515
01JUL2017:21:45,4245.2,1515
01JUL2017:22:00,4233.3,1515
01JUL2017:22:15,3927.8,1515
01JUL2017:22:30,3881.2,1515
01JUL2017:22:45,3857.6,1515
01JUL2017:23:00,3879.4,1515
01JUL2017:23:15,3870.5,1515
01JUL2017:23:30,3846.3,1515
01JUL2017:23:45,3845.4,1515
01JUN2017:00:00,3788.0,1515
01JUN2017:00:15,3783.4,1515
01JUN2017:00:30,3771.5,1515
01JUN2017:00:45,3717.4,1515
01JUN2017:01:00,3733.0,1515
01JUN2017:01:15,3808.4,1515
01JUN2017:01:30,3814.5,1515
01JUN2017:01:45,3808.4,1515
01JUN2017:02:00,3846.1,1515
01JUN2017:02:15,3908.9,1515
01JUN2017:02:30,3989.6,1515
01JUN2017:02:45,3977.4,1515
01JUN2017:03:00,4005.2,1515
01JUN2017:03:15,4214.6,1515
01JUN2017:03:30,4263.3,1515
01JUN2017:03:45,4315.6,1515
01JUN2017:04:00,4391.7,1515
01JUN2017:04:15,4702.8,1515
01JUN2017:04:30,4745.7,1515
01JUN2017:04:45,4784.0,1515
01JUN2017:05:00,4806.7,1515
01JUN2017:05:15,4859.6,1515
01JUN2017:05:30,4873.2,1515
01JUN2017:05:45,4915.1,1515
01JUN2017:06:00,4962.9,1515
01JUN2017:06:15,4948.2,1515
01JUN2017:06:30,4993.2,1515
01JUN2017:06:45,5002.2,1515
01JUN2017:07:00,5047.2,1515
01JUN2017:07:15,5032.7,1515
01JUN2017:07:30,5022.7,1515
01JUN2017:07:45,5033.0,1515
01JUN2017:08:00,5061.1,1515
01JUN2017:08:15,5056.6,1515
01JUN2017:08:30,5065.9,1515
01JUN2017:08:45,5113.9,1515
01JUN2017:09:00,5182.2,1515
01JUN2017:09:15,5113.8,1515
01JUN2017:09:30,5150.6,1515
01JUN2017:09:45,5214.0,1515
01JUN2017:10:00,5232.6,1515
01JUN2017:10:15,5171.0,1515
01JUN2017:10:30,5167.7,1515
01JUN2017:10:45,5208.0,1515
01JUN2017:11:00,5306.1,1515
01JUN2017:11:15,5300.9,1515
01JUN2017:11:30,5321.6,1515
01JUN2017:11:45,5351.6,1515
01JUN2017:12:00,5410.5,1515
01JUN2017:12:15,5367.9,1515
01JUN2017:12:30,5376.2,1515
01JUN2017:12:45,5399.4,1515
01JUN2017:13:00,5448.6,1515
01JUN2017:13:15,5364.2,1515
01JUN2017:13:30,5457.2,1515
01JUN2017:13:45,5432.0,1515
01JUN2017:14:00,5488.0,1515
01JUN2017:14:15,5421.2,1515
01JUN2017:14:30,5413.8,1515
01JUN2017:14:45,5433.4,1515
01JUN2017:15:00,5454.0,1515
01JUN2017:15:15,5396.5,1515
01JUN2017:15:30,5404.8,1515
01JUN2017:15:45,5335.8,1515
01JUN2017:16:00,5353.0,1515
01JUN2017:16:15,5244.8,1515
01JUN2017:16:30,5264.5,1515
01JUN2017:16:45,5224.6,1515
01JUN2017:17:00,5251.2,1515
01JUN2017:17:15,5135.0,1515
01JUN2017:17:30,5075.6,1515
01JUN2017:17:45,5053.3,1515
01JUN2017:18:00,5005.8,1515
01JUN2017:18:15,4900.0,1515
01JUN2017:18:30,4838.6,1515
01JUN2017:18:45,4821.9,1515
01JUN2017:19:00,4828.2,1515
01JUN2017:19:15,4721.5,1515
01JUN2017:19:30,4700.7,1515
01JUN2017:19:45,4650.3,1515
01JUN2017:20:00,4614.6,1515
01JUN2017:20:15,4460.5,1515
01JUN2017:20:30,4399.9,1515
01JUN2017:20:45,4318.1,1515
01JUN2017:21:00,4301.7,1515
01JUN2017:21:15,4210.4,1515
01JUN2017:21:30,4130.9,1515
01JUN2017:21:45,4070.3,1515
01JUN2017:22:00,4047.0,1515
01JUN2017:22:15,3769.6,1515
01JUN2017:22:30,3731.7,1515
01JUN2017:22:45,3692.2,1515
01JUN2017:23:00,3732.8,1515
01JUN2017:23:15,3729.1,1515
01JUN2017:23:30,3702.4,1515
01JUN2017:23:45,3720.3,1515
01MAR2017:00:00,3638.0,1515
01MAR2017:00:15,3414.1,1515
01MAR2017:00:30,3379.2,1515
01MAR2017:00:45,3381.5,1515
01MAR2017:01:00,3384.8,1515
01MAR2017:01:15,3443.4,1515
