,Demand,DemandCharge,EnergyCharge,FacilityCharge,TotalCharge,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge
month,entire year,entire year,entire year,entire year,entire year,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
CustomerID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0E7G3,258079.14,5892.14,19328.81,10998.42,36219.37,21424.01,20892.75,22825.76,20869.08,22103.31,22086.50,21324.55,22287.32,20758.64,21948.92,20932.47,20625.83,0,0,0,0,0,1521.94,1446.54,1505.88,1417.79,0,0,0,1523.85,1490.85,1635.36,1485.35,1579.78,1836.10,1704.98,1861.84,1688.65,1565.47,1493.22,1463.35,928.61,1033.49,922.26,888.57,934.33,933.06,889.84,928.61,866.32,854.25,884.12,934.97,2452.46,2524.34,2557.62,2373.92,2514.12,4291.10,4041.36,4296.33,3972.76,2419.72,2377.34,2398.32
P0VGGP,336025.93,7785.06,24536.11,12007.12,44328.28,20026.94,19444.51,22049.36,29468.84,35445.61,36212.46,40135.31,41463.75,24012.63,24650.21,22417.45,20698.86,0,0,0,0,0,2014.08,2064.66,2070.35,1635.96,0,0,0,1392.17,1353.93,1547.56,2060.36,2485.90,2838.14,3051.77,3238.31,1837.49,1729.79,1566.51,1434.18,653.40,776.70,837.72,1172.68,1121.20,1227.98,1264.21,1259.76,992.81,1108.49,854.25,737.93,2045.57,2130.63,2385.28,3233.05,3607.10,6080.20,6380.64,6568.42,4466.26,2838.27,2420.75,2172.11
P27AR7,247953.20,10983.76,19259.58,17161.20,47404.54,18947.60,17872.40,21930.40,19885.60,19885.20,21711.20,26284.40,26300.40,21259.60,19570.80,15314.00,18991.60,0,0,0,0,0,2560.32,2665.97,2972.13,2785.34,0,0,0,1340.25,1260.20,1555.82,1406.23,1429.60,1943.22,2257.33,2347.36,1853.50,1423.15,1102.82,1340.09,1271.20,1144.08,1093.23,1067.81,1627.14,1652.56,1703.41,1906.80,1805.10,1576.29,1042.38,1271.20,2611.45,2404.28,2649.06,2474.04,3056.74,6156.10,6626.70,7226.29,6443.95,2999.44,2145.21,2611.29
P2N4YH,234809.60,9653.47,18439.85,16830.69,44924.01,16802.40,14632.80,18022.40,16380.00,17524.80,19783.20,24760.00,25656.00,22212.80,21078.40,17323.20,20633.60,0,0,0,0,0,2210.53,2496.83,2573.31,2372.80,0,0,0,1207.68,1053.92,1312.30,1183.72,1270.91,1769.11,2150.06,2305.93,1942.46,1531.38,1246.63,1465.73,1372.90,1067.81,1169.50,1169.50,1220.35,1423.74,1728.83,1677.98,1525.44,1576.29,1220.35,1677.98,2580.58,2121.73,2481.80,2353.22,2491.27,5403.39,6375.72,6557.23,5840.70,3107.67,2466.98,3143.72
P3WCAO,302114.40,8983.30,23110.75,15559.49,47653.53,23032.80,21945.60,25135.20,24055.20,26112.00,27295.20,27276.00,28562.40,25435.20,26268.00,23978.40,23018.40,0,0,0,0,0,2245.82,2245.82,2245.82,2245.82,0,0,0,1657.51,1578.67,1817.87,1726.50,1882.12,2324.93,2266.63,2451.70,2128.99,1895.31,1729.07,1651.47,1220.35,1220.35,1372.90,1220.35,1220.35,1372.90,1372.90,1372.90,1372.90,1372.90,1220.35,1220.35,2877.86,2799.02,3190.76,2946.85,3102.47,5943.65,5885.35,6070.42,5747.71,3268.21,2949.42,2871.82
P4777E,509630.40,14601.54,38214.88,22576.51,75392.93,39662.40,34131.20,40260.80,38081.60,42601.60,49963.20,55184.00,54638.40,46134.40,39904.00,34838.40,34230.40,0,0,0,0,0,3793.54,3468.99,3894.53,3444.48,0,0,0,2783.78,2404.05,2864.62,2686.31,3033.73,4133.23,4396.39,4524.31,3682.46,2836.68,2465.66,2403.66,1423.74,1525.44,1932.22,1830.53,2033.92,2339.01,2135.62,2440.70,2135.62,1830.53,1525.44,1423.74,4207.53,3929.49,4796.85,4516.83,5067.65,10265.77,10001.00,10859.54,9262.55,4667.21,3991.10,3827.40
P4HQNP,440417.60,13113.15,33120.55,24813.82,71047.53,36864.00,32326.40,37108.80,33913.60,35136.00,36300.80,40169.60,42035.20,38060.80,38648.00,34361.60,35492.80,0,0,0,0,0,3147.39,3046.40,3321.92,3597.44,0,0,0,2613.91,2291.73,2646.87,2405.09,2500.91,3024.46,3271.60,3529.46,3106.54,2762.29,2448.75,2518.93,2135.62,2033.92,2135.62,1627.14,1830.53,2033.92,2033.92,2135.62,2339.01,2339.01,2033.92,2135.62,4749.52,4325.65,4782.49,4032.23,4331.44,8205.77,8351.92,8986.99,9042.99,5101.29,4482.67,4654.55
P4POPF,295248.80,7050.26,22178.46,13449.30,42678.01,22438.00,21397.60,24575.20,22984.80,25297.60,26004.80,26092.00,26700.80,24480.00,25950.40,25070.00,24257.60,0,0,0,0,0,1773.47,1735.97,1735.97,1804.85,0,0,0,1600.66,1528.79,1761.05,1637.32,1807.57,2147.22,2116.60,2232.48,1992.87,1850.40,1784.06,1719.47,991.54,1067.81,1067.81,1093.23,1194.93,1144.08,1144.08,1144.08,1169.50,1271.20,1093.23,1067.81,2592.20,2596.59,2828.86,2730.55,3002.50,5064.77,4996.65,5112.52,4967.22,3121.60,2877.29,2787.27
P4RVMT,539507.20,17672.45,40923.34,27966.40,86562.18,38052.80,34267.20,43574.40,40428.80,44564.80,49256.00,54564.80,58076.80,50358.40,48908.80,39995.20,37459.20,0,0,0,0,0,4142.59,4044.54,4892.67,4592.64,0,0,0,2701.91,2439.30,3118.48,2873.44,3189.46,4155.76,4458.43,4918.30,4080.57,3494.52,2844.92,2648.25,1627.14,1932.22,2542.40,2033.92,2339.01,2542.40,2542.40,3050.88,2847.49,2745.79,1932.22,1830.53,4329.05,4371.53,5660.88,4907.36,5528.47,10840.75,11045.37,12861.86,11520.70,6240.31,4777.14,4478.78
P6A42J,231797.60,5877.09,17008.32,10067.90,32953.32,21516.00,18404.80,20337.60,17747.20,20150.40,19530.40,21794.40,20976.00,18660.00,18555.20,16164.80,17960.80,0,0,0,0,0,1322.69,1647.23,1647.23,1259.94,0,0,0,1499.92,1287.36,1427.75,1239.79,1417.34,1543.91,1721.75,1705.62,1465.04,1311.75,1136.67,1251.43,966.11,813.57,762.72,711.87,762.72,813.57,1016.96,1016.96,762.72,864.42,711.87,864.42,2466.04,2100.92,2190.47,1951.67,2180.06,3680.16,4385.95,4369.82,3487.69,2176.16,1848.54,2115.84
P7GSZ4,485518.40,16902.75,37613.59,27610.46,82126.81,32730.40,29816.00,39702.40,35650.40,37636.00,41701.60,48077.60,51066.40,46158.40,49545.60,37835.20,35598.40,0,0,0,0,0,4092.10,4191.62,4390.66,4228.38,0,0,0,2348.40,2145.90,2889.82,2575.02,2732.10,3644.86,4052.23,4450.81,3898.20,3584.58,2732.75,2558.92,1881.38,1932.22,2389.86,1983.07,2135.62,2542.40,2542.40,2644.10,2542.40,2542.40,2339.01,2135.62,4229.78,4078.12,5279.68,4558.09,4867.71,10279.35,10786.25,11485.57,10668.98,6126.98,5071.75,4694.54
PAEP9A,226941.60,9274.02,17988.53,16728.99,43991.54,22560.80,17654.40,19412.00,16662.40,17111.20,20151.20,22339.20,22540.80,19095.20,17443.20,14698.40,17272.80,0,0,0,0,0,2310.05,2359.07,2371.33,2233.57,0,0,0,1619.94,1260.47,1408.55,1207.76,1254.89,1869.87,2000.67,2086.61,1698.30,1275.76,1064.59,1241.11,1881.38,1627.14,1220.35,1220.35,1220.35,1474.59,1474.59,1474.59,1372.90,1271.20,1118.66,1372.90,3501.32,2887.61,2628.90,2428.11,2475.24,5654.51,5834.33,5932.53,5304.76,2546.96,2183.25,2614.00
PAQM30,313036.80,9819.17,23711.64,16779.84,50310.65,23658.40,21107.20,24130.40,23182.40,23463.20,24845.60,30239.20,32071.20,29107.20,30412.00,25379.20,25440.80,0,0,0,0,0,2296.32,2470.85,2582.62,2469.38,0,0,0,1679.19,1499.82,1730.06,1649.05,1680.18,2106.26,2482.42,2713.61,2380.80,2178.89,1808.55,1802.82,1220.35,1118.66,1220.35,1169.50,1169.50,1423.74,1525.44,1576.29,1677.98,1830.53,1525.44,1322.05,2899.54,2618.47,2950.41,2818.56,2849.68,5826.33,6478.71,6872.52,6528.16,4009.42,3333.99,3124.87
PAUQ43,766226.13,9490.21,55458.28,15762.88,80711.36,34798.40,41822.93,57059.20,59996.80,64254.40,65366.40,78931.20,77728.00,74348.80,74760.00,69491.20,67668.80,0,0,0,0,0,2157.09,2394.37,2544.38,2394.37,0,0,0,2425.02,2907.25,3985.86,4170.49,4503.94,5034.10,5945.91,6090.92,5593.08,5239.95,4858.45,4703.30,813.57,1067.81,1322.05,1271.20,1372.90,1322.05,1423.74,1525.44,1576.29,1525.44,1271.20,1271.20,3238.59,3975.06,5307.91,5441.69,5876.83,8513.23,9764.03,10160.75,9563.73,6765.39,6129.65,5974.50
PBLS54,399504.93,12304.26,30543.08,23559.85,66407.19,29328.83,27688.81,33823.20,29839.53,31729.28,33572.80,35950.11,40006.69,36528.02,38887.24,31148.80,31001.62,0,0,0,0,0,2908.62,2824.77,3186.20,3384.67,0,0,0,2095.18,1982.45,2431.80,2124.78,2268.31,2863.15,3018.50,3449.99,3067.06,2793.84,2233.64,2214.37,1729.29,1728.71,1881.36,1619.95,1830.53,1830.38,1905.36,2085.19,2491.11,2695.20,1830.53,1932.23,3824.47,3711.16,4313.16,3744.74,4098.84,7602.15,7748.63,8721.38,8942.85,5489.04,4064.17,4146.60
PDREI1,321010.40,11764.48,24849.81,19983.26,56597.55,24304.80,21411.20,25573.60,23714.40,25020.80,28211.20,31506.40,32851.20,29769.60,29712.80,24612.00,24322.40,0,0,0,0,0,2784.61,3222.40,2897.86,2859.62,0,0,0,1744.56,1538.54,1856.03,1710.83,1812.87,2474.08,2676.57,2852.83,2539.04,2139.63,1770.86,1733.98,1677.98,1525.44,1423.74,1474.59,1576.29,1932.22,2186.46,1881.38,1830.53,1677.98,1423.74,1372.90,3422.54,3063.98,3279.77,3185.42,3389.16,7190.91,8085.44,7632.06,7229.18,3817.62,3194.61,3106.88
PE6BXY,239425.60,8480.06,18459.60,13805.23,40744.90,18804.80,17378.40,20692.40,18657.60,20462.80,21378.80,22855.20,24767.20,20669.20,20741.60,16181.20,16836.40,0,0,0,0,0,1979.38,2034.53,2248.77,2217.39,0,0,0,1331.07,1233.45,1486.97,1333.90,1468.60,1853.59,1949.51,2179.39,1765.66,1494.76,1164.25,1198.44,864.42,966.11,1042.38,991.54,1067.81,1271.20,1271.20,1474.59,1449.17,1449.17,1016.96,940.69,2195.49,2199.57,2529.35,2325.44,2536.41,5104.16,5255.24,5902.75,5432.22,2943.93,2181.21,2139.13
PGE3Z8,206406.80,10183.68,16646.78,16195.09,43025.55,13614.00,12522.80,15826.00,14710.80,17472.40,19292.80,22236.00,23986.40,19376.40,18335.60,15464.40,13569.20,0,0,0,0,0,1842.35,2799.07,2792.94,2749.31,0,0,0,988.45,907.51,1160.97,1069.17,1272.39,1737.87,2035.00,2250.30,1758.13,1347.79,1132.38,986.81,788.14,864.42,1245.78,1372.90,1144.08,1194.93,1855.95,1855.95,1830.53,1754.26,1169.50,1118.66,1776.60,1771.93,2406.75,2442.07,2416.47,4775.15,6690.03,6899.20,6337.97,3102.04,2301.88,2105.47
PIIE7T,371236.00,11266.62,28065.29,20008.69,59340.60,24450.40,27136.40,33396.80,27835.60,29159.20,29819.20,33574.00,35048.40,34352.80,36197.20,29796.00,30470.00,0,0,0,0,0,2519.87,2907.17,2776.27,3063.31,0,0,0,1747.60,1935.57,2393.86,1985.62,2088.93,2509.04,2734.98,2951.79,2824.58,2586.36,2136.44,2170.52,1271.20,1500.02,1728.83,1372.90,1500.02,1576.29,1855.95,1932.22,1881.38,2262.74,1601.71,1525.44,3018.80,3435.59,4122.70,3358.51,3588.95,6605.20,7498.10,7660.29,7769.27,4849.09,3738.16,3695.96
PKIX0Q,463962.40,11463.46,34265.81,20745.98,66475.25,38353.60,31606.40,36147.20,35945.60,41650.40,34207.20,39557.60,42214.40,37456.80,43118.40,43932.00,39772.80,0,0,0,0,0,2382.11,3067.97,3144.45,2868.93,0,0,0,2703.59,2248.78,2567.64,2543.18,2960.71,2768.22,3136.75,3454.57,2938.99,3051.51,3099.69,2792.18,1627.14,1576.29,1525.44,1576.29,1728.83,1423.74,1881.38,1983.07,1830.53,2033.92,1830.53,1728.83,4330.72,3825.07,4093.08,4119.47,4689.54,6574.07,8086.10,8582.09,7638.45,5085.43,4930.22,4521.01
PKIZYZ,444311.88,13320.15,33568.80,24185.85,71074.80,28631.88,28028.40,34643.16,33452.28,34857.96,37429.80,41670.84,46816.08,41849.52,42128.52,36907.56,37895.88,0,0,0,0,0,3249.24,3147.32,3448.38,3475.22,0,0,0,2041.79,2004.39,2493.14,2388.33,2495.52,3133.87,3401.93,3883.49,3378.41,3002.54,2647.38,2698.00,1685.61,1822.90,1723.75,1662.73,1929.68,2211.89,2440.70,2364.43,2219.52,2288.16,1883.92,1952.56,3727.40,3827.29,4216.89,4051.06,4425.20,8595.00,8989.95,9696.30,9073.14,5290.70,4531.30,4650.56
PKVVH0,351219.20,10533.95,26608.38,19118.85,56261.18,31082.40,28576.80,30971.20,30258.40,27676.80,27256.80,29902.40,30439.20,30839.20,30127.20,25520.80,28568.00,0,0,0,0,0,2408.10,2620.86,2821.38,2683.62,0,0,0,2197.14,2024.59,2217.75,2151.73,1987.76,2331.81,2489.90,2630.69,2555.41,2166.59,1830.21,2024.79,1423.74,1474.59,1474.59,1576.29,1627.14,1525.44,1627.14,1779.68,1677.98,1932.22,1525.44,1474.59,3620.89,3499.19,3692.34,3728.02,3614.90,6265.35,6737.90,7231.74,6917.01,4098.81,3355.65,3499.39
PKWEF7,951572.80,18465.66,70199.81,35186.82,123852.29,82496.00,74470.40,80180.80,74920.00,81160.00,80316.80,79512.00,81123.20,78760.00,83316.80,76545.60,78771.20,0,0,0,0,0,4666.18,4690.69,4467.14,4641.66,0,0,0,5841.43,5270.50,5702.39,5287.84,5759.83,6490.56,6246.71,6526.64,6193.67,5886.29,5427.07,5566.88,3050.88,3050.88,2949.18,2847.49,2949.18,2847.49,2847.49,2745.79,2847.49,2949.18,3050.88,3050.88,8892.31,8321.38,8651.57,8135.33,8709.01,14004.23,13784.89,13739.57,13682.82,8835.47,8477.95,8617.76
PLEA47,784223.44,18940.70,58460.83,32339.33,109740.86,52172.80,49490.40,59148.00,60388.80,62904.80,70567.44,81053.60,83058.40,73820.00,73323.20,60417.60,57878.40,0,0,0,0,0,4451.94,4912.77,4813.25,4762.75,0,0,0,3671.20,3487.00,4196.51,4252.38,4466.95,5748.63,6444.86,6816.26,5846.97,5193.39,4268.06,4068.61,2339.01,2339.01,2593.25,2593.25,2644.10,2949.18,3000.03,3050.88,2847.49,3050.88,2491.55,2440.70,6010.21,5826.00,6789.76,6845.63,7111.05,13149.75,14357.66,14680.39,13457.21,8244.27,6759.61,6509.31
PLZE5I,218096.80,8621.50,16647.30,17593.41,42862.21,21695.20,19001.60,19813.60,17220.80,18239.47,18466.40,17203.20,18879.20,17011.20,18108.53,16622.40,15835.20,0,0,0,0,0,2224.26,2224.26,2161.50,2011.49,0,0,0,1568.86,1366.79,1427.61,1236.14,1315.26,1578.46,1436.34,1612.48,1434.02,1308.06,1209.44,1153.85,1525.44,1576.29,1525.44,1474.59,1372.90,1474.59,1474.59,1423.74,1322.05,1474.59,1474.59,1474.59,3094.30,2943.07,2953.05,2710.73,2688.15,5277.31,5135.18,5197.73,4767.55,2782.66,2684.04,2628.44
PNLXUR,258313.20,8598.94,19847.35,14212.02,42658.31,19716.00,19056.40,23557.20,21386.40,21090.00,22344.40,24551.20,25408.80,23565.20,22965.20,17332.00,17340.40,0,0,0,0,0,2003.15,2090.42,2321.57,2183.81,0,0,0,1399.74,1360.01,1697.90,1528.99,1519.43,1933.19,2061.97,2212.10,1993.33,1656.54,1248.74,1235.42,915.26,1093.23,1169.50,1144.08,1194.93,1245.78,1296.62,1449.17,1347.47,1398.32,1016.96,940.69,2315.00,2453.24,2867.40,2673.07,2714.36,5182.12,5449.01,5982.83,5524.61,3054.86,2265.70,2176.10
PRJ0PH,499562.64,16267.88,37716.00,25307.05,79290.93,34664.16,31507.20,38079.12,36050.88,40828.56,47294.64,54812.64,54744.00,47525.28,46102.56,34232.64,33720.96,0,0,0,0,0,4127.05,4120.14,4188.09,3832.61,0,0,0,2471.54,2245.08,2742.21,2578.43,2937.65,4021.25,4392.43,4505.52,3726.62,3266.53,2440.41,2388.32,2013.58,1647.48,1967.82,1891.55,2288.16,2471.21,2547.48,2547.48,2333.92,2150.87,1845.78,1601.71,4485.13,3892.56,4710.03,4469.97,5225.81,10619.51,11060.05,11241.10,9893.16,5417.40,4286.19,3990.03
PSCIST,493837.18,10473.61,36562.04,19028.59,66064.25,41223.26,37115.74,41866.04,39718.56,42846.28,41157.68,41547.00,43020.64,40904.16,44059.70,40498.32,39879.80,0,0,0,0,0,2619.14,2618.12,2627.59,2608.77,0,0,0,2910.06,2624.68,2977.01,2801.69,3041.93,3348.90,3273.37,3525.07,3264.64,3119.09,2867.77,2807.83,1514.00,1539.42,1564.85,1578.83,1573.75,1601.71,1616.97,1606.80,1591.54,1642.39,1604.25,1594.08,4424.06,4164.11,4541.86,4380.52,4615.68,7569.75,7508.46,7759.46,7464.95,4761.48,4472.03,4401.91
PSH8FI,378670.40,15729.60,29404.35,24762.98,69896.93,22392.00,20918.40,25516.80,26112.80,29988.80,35464.80,42764.80,47214.40,39667.20,37418.40,26878.40,24333.60,0,0,0,0,0,3370.94,3795.01,4182.30,4381.34,0,0,0,1602.71,1498.93,1843.21,1879.74,2165.18,3034.65,3574.58,4041.66,3382.59,2705.87,1937.08,1738.16,1372.90,1474.59,1525.44,1779.68,1932.22,2135.62,2440.70,2644.10,2745.79,2949.18,2135.62,1627.14,2975.61,2973.52,3368.65,3659.42,4097.40,8541.21,9810.29,10868.06,10509.72,5655.06,4072.69,3365.30
PSLR01,505166.52,17518.83,38875.19,29387.60,85781.62,33916.68,31946.88,41131.44,39499.68,40563.24,44724.00,49375.08,54988.92,47179.68,47292.36,36441.84,38106.72,0,0,0,0,0,4292.95,4105.80,4518.71,4601.37,0,0,0,2429.05,2294.87,2974.69,2833.90,2923.43,3840.80,4114.74,4703.65,3977.38,3410.52,2635.34,2736.82,1891.55,2028.84,2326.30,2280.53,2280.53,2677.15,2593.25,2791.56,2852.57,2966.98,2341.55,2356.80,4320.59,4323.71,5300.98,5114.43,5203.97,10810.90,10813.78,12013.91,11431.32,6377.50,4976.89,5093.63
PSUTQE,218769.20,5432.43,16166.10,8440.77,30039.30,23062.40,21505.60,23791.20,23960.80,24988.80,20058.40,22044.00,22054.80,20698.80,11716.80,2427.20,2460.40,0,0,0,0,0,1240.82,1353.33,1465.84,1372.45,0,0,0,1614.09,1507.61,1678.18,1677.48,1761.74,1616.82,1723.18,1783.97,1626.58,833.15,171.04,172.27,762.72,813.57,838.99,813.57,838.99,737.30,813.57,889.84,838.99,711.87,152.54,228.82,2376.81,2321.18,2517.18,2491.05,2600.73,3594.93,3890.08,4139.65,3838.02,1545.02,323.58,401.08
PSX956,231539.20,7671.39,17730.03,12457.76,37859.18,16939.20,15560.80,18344.00,17611.20,18938.40,21112.80,24067.20,23858.40,21452.00,20984.00,16912.80,15758.40,0,0,0,0,0,1795.78,2020.80,1945.79,1909.02,0,0,0,1197.80,1104.84,1317.42,1258.30,1362.02,1816.97,1996.50,2062.96,1787.24,1507.25,1208.99,1109.75,864.42,915.26,966.11,1016.96,1016.96,1067.81,1220.35,1169.50,1169.50,1220.35,1016.96,813.57,2062.21,2020.10,2283.53,2275.26,2378.98,4680.55,5237.65,5178.25,4865.77,2727.60,2225.95,1923.32
PSYM0M,287815.20,8211.65,22017.07,14644.22,44872.94,27068.00,23603.20,24160.80,22217.60,23813.60,23440.00,24498.40,25463.20,23876.00,24822.40,21929.60,22922.40,0,0,0,0,0,1896.77,2134.05,2121.79,2059.04,0,0,0,1941.44,1688.21,1743.84,1594.30,1721.06,2033.43,2069.37,2212.15,2010.47,1791.68,1575.12,1635.99,1271.20,1169.50,1118.66,1118.66,1118.66,1169.50,1372.90,1322.05,1322.05,1423.74,1067.81,1169.50,3212.64,2857.71,2862.49,2712.96,2839.72,5099.71,5576.31,5655.99,5391.56,3215.42,2642.93,2805.50
PT95KF,247690.93,5912.38,18580.47,10576.38,35069.24,20226.93,19718.40,22524.80,20498.40,20878.40,21014.40,22712.80,23836.00,22148.80,20315.20,17002.40,16814.40,0,0,0,0,0,1458.98,1533.98,1533.98,1385.44,0,0,0,1432.93,1403.31,1618.56,1461.33,1496.95,1766.69,1852.71,1939.95,1747.87,1450.08,1214.59,1195.49,864.42,864.42,915.26,915.26,864.42,864.42,915.26,915.26,864.42,966.11,813.57,813.57,2297.35,2267.73,2533.82,2376.59,2361.37,4090.08,4301.96,4389.20,3997.73,2416.19,2028.16,2009.06
PU06YJ,216321.60,6373.22,16150.69,8644.16,31168.06,13893.60,12822.40,15749.60,15442.40,19753.60,23274.40,25222.40,25712.80,20368.00,16165.60,14283.20,13633.60,0,0,0,0,0,1708.51,1533.98,1621.25,1509.47,0,0,0,976.44,901.02,1114.20,1085.26,1404.18,1889.47,1981.75,2087.22,1605.90,1142.21,1007.29,955.76,508.48,508.48,661.02,610.18,864.42,1016.96,915.26,966.11,915.26,661.02,559.33,457.63,1484.92,1409.50,1775.23,1695.43,2268.59,4614.94,4431.00,4674.58,4030.64,1803.23,1566.61,1413.40
PU0C4X,370980.40,14628.26,29443.33,23669.74,67741.33,26275.20,25330.00,32079.20,29547.20,31551.20,34778.80,37646.40,39690.40,33894.80,33058.80,25659.20,21469.20,0,0,0,0,0,3614.35,3612.88,3756.77,3644.26,0,0,0,1894.54,1829.26,2339.40,2138.92,2292.61,3143.35,3351.24,3617.72,3009.30,2403.99,1867.59,1555.40,1627.14,1652.56,2008.50,1855.95,1983.07,2288.16,2237.31,2339.01,2262.74,2313.58,1627.14,1474.59,3521.68,3481.82,4347.90,3994.87,4275.68,9045.86,9201.43,9713.49,8916.29,4717.58,3494.73,3030.00
PV1R9L,462142.40,13420.03,35454.52,23491.78,72366.33,32844.80,33072.00,39300.80,35640.00,39492.80,43881.60,43372.80,47201.60,44377.60,39436.80,34520.00,29001.60,0,0,0,0,0,3242.50,3392.51,3392.51,3392.51,0,0,0,2347.62,2364.72,2825.76,2562.83,2848.21,3740.30,3666.43,3997.52,3695.81,2833.08,2485.87,2086.38,2033.92,1728.83,2033.92,1830.53,1932.22,1932.22,2135.62,2033.92,2033.92,1932.22,2033.92,1830.53,4381.54,4093.55,4859.68,4393.35,4780.43,8915.02,9194.56,9423.95,9122.24,4765.31,4519.79,3916.91
PWQVG3,337894.40,13145.25,26946.57,20898.53,60990.35,19286.80,19082.80,25521.20,24615.20,26462.40,29918.00,37411.20,40988.00,32484.40,31110.80,27395.60,23618.00,0,0,0,0,0,3149.10,3286.13,3398.64,3311.38,0,0,0,1414.29,1400.77,1881.39,1798.09,1940.01,2748.11,3236.96,3644.79,2853.92,2278.88,2012.64,1736.74,1398.32,1550.86,1627.14,1652.56,1627.14,1881.38,1957.65,2033.92,1983.07,1830.53,1779.68,1576.29,2812.61,2951.63,3508.53,3450.65,3567.14,7778.59,8480.73,9077.35,8148.36,4109.41,3792.32,3313.02
PYEUYR,742430.40,23952.03,56984.05,39203.81,120139.89,46235.20,43602.40,62100.00,60262.40,64778.40,68353.60,74035.20,76794.40,68498.40,68350.40,57249.60,52170.40,0,0,0,0,0,5590.78,5753.06,6279.58,6328.61,0,0,0,3315.43,3131.55,4479.59,4318.46,4667.54,5862.35,6184.71,6585.82,5703.40,4910.75,4101.39,3723.07,2593.25,2491.55,3152.58,3101.73,3254.27,3457.66,3559.36,3966.14,3966.14,3813.60,3152.58,2694.94,5908.68,5623.10,7632.16,7420.18,7921.81,14910.80,15497.12,16831.55,15998.15,8724.35,7253.96,6418.02
PYP9UO,299013.60,10041.25,22987.13,19118.85,52147.23,22796.00,20218.00,24503.20,23143.60,24971.20,26354.40,28279.60,30524.00,27823.60,27394.40,21260.00,21745.60,0,0,0,0,0,2413.49,2600.27,2569.63,2457.86,0,0,0,1635.76,1450.66,1768.16,1659.55,1801.07,2287.14,2382.92,2641.15,2335.28,1951.00,1527.72,1546.73,2389.86,2389.86,1627.14,1220.35,1322.05,1525.44,1703.41,1550.86,1500.02,1194.93,1245.78,1449.17,4025.61,3840.52,3395.29,2879.90,3123.12,6226.07,6686.60,6761.64,6293.15,3145.92,2773.50,2995.90
PZ4WBV,249841.28,8116.54,18999.20,14339.14,41454.88,19102.40,17608.00,20129.60,18953.60,19366.40,19986.88,23225.60,23944.00,23006.40,23976.00,20014.40,20528.00,0,0,0,0,0,1772.74,2048.26,2198.27,2097.28,0,0,0,1357.43,1249.71,1439.46,1346.86,1388.07,1709.95,1932.52,2061.98,1910.03,1719.11,1427.11,1456.95,915.26,915.26,915.26,1016.96,1016.96,1118.66,1322.05,1423.74,1322.05,1932.22,1220.35,1220.35,2272.69,2164.97,2354.73,2363.82,2405.03,4601.34,5302.83,5684.00,5329.36,3651.34,2647.46,2677.30
PZY9KT,246032.80,7587.07,18756.95,12762.85,39106.87,19848.80,17323.20,19306.40,18232.00,19309.60,20411.20,23840.00,25476.00,23301.60,22030.40,18020.80,18932.80,0,0,0,0,0,1671.74,1809.50,2046.78,2059.04,0,0,0,1404.61,1228.69,1380.56,1299.40,1385.44,1746.71,1966.20,2186.14,1949.76,1581.33,1286.77,1341.33,864.42,864.42,915.26,915.26,1016.96,1016.96,1118.66,1271.20,1322.05,1474.59,966.11,1016.96,2269.03,2093.11,2295.82,2214.66,2402.40,4435.41,4894.36,5504.13,5330.85,3055.92,2252.89,2358.29
Q24W12,322916.80,12431.71,25087.17,22068.03,59586.91,21220.80,22055.20,26701.60,25058.40,26997.60,30812.00,32884.80,34208.80,28288.00,29330.40,22684.80,22674.40,0,0,0,0,0,2972.86,3110.62,3148.86,3199.36,0,0,0,1534.49,1598.24,1940.08,1808.42,1954.21,2630.77,2801.86,2964.08,2441.38,2122.19,1650.58,1640.88,1728.83,1830.53,1830.53,1474.59,1830.53,1983.07,2084.77,2084.77,2135.62,2186.46,1423.74,1474.59,3263.33,3428.77,3770.60,3283.01,3784.73,7586.71,7997.25,8197.71,7776.35,4308.66,3074.32,3115.47
