DateTime,Usage_KWH,UniqueID
2/27/2016 11:00,64.8,string
2/27/2016 11:15,67.2,string
2/27/2016 11:30,61.2,string
2/27/2016 11:45,72.6,string
2/27/2016 12:00,75,string
2/27/2016 12:15,74.4,string
2/27/2016 12:30,75.6,string
2/27/2016 12:45,67.2,string
2/27/2016 13:00,72,string
2/27/2016 13:15,75.6,string
2/27/2016 13:30,75,string
2/27/2016 13:45,73.8,string
2/27/2016 14:00,61.8,string
2/27/2016 14:15,67.8,string
2/27/2016 14:30,69,string
2/27/2016 14:45,71.4,string
2/27/2016 15:00,73.2,string
2/27/2016 15:15,73.2,string
2/27/2016 15:30,63,string
2/27/2016 15:45,63.6,string
2/27/2016 16:00,63.6,string
2/27/2016 16:15,54.6,string
2/27/2016 16:30,56.4,string
2/27/2016 16:45,57.6,string
2/27/2016 17:00,58.2,string
2/27/2016 17:15,55.8,string
2/27/2016 17:30,55.2,string
2/27/2016 17:45,55.2,string
2/27/2016 18:00,55.2,string
2/27/2016 18:15,57.6,string
2/27/2016 18:30,55.8,string
2/27/2016 18:45,54.6,string
2/27/2016 19:00,54,string
2/27/2016 19:15,52.2,string
2/27/2016 19:30,51.6,string
2/27/2016 19:45,52.2,string
2/27/2016 20:00,53.4,string
2/27/2016 20:15,51,string
2/27/2016 20:30,51.6,string
2/27/2016 20:45,51.6,string
2/27/2016 21:00,52.8,string
2/27/2016 21:15,53.4,string
2/27/2016 21:30,52.2,string
2/27/2016 21:45,52.2,string
2/27/2016 22:00,49.8,string
2/27/2016 22:15,51.6,string
2/27/2016 22:30,51.6,string
2/27/2016 22:45,51,string
2/27/2016 23:00,48.6,string
2/27/2016 23:15,48.6,string
2/27/2016 23:30,49.2,string
2/27/2016 23:45,49.8,string
2/28/2016 0:00,50.4,string
2/28/2016 0:15,50.4,string
2/28/2016 0:30,50.4,string
2/28/2016 0:45,48,string
2/28/2016 1:00,48.6,string
2/28/2016 1:15,49.2,string
2/28/2016 1:30,52.2,string
2/28/2016 1:45,50.4,string
2/28/2016 2:00,48,string
2/28/2016 2:15,48,string
2/28/2016 2:30,49.2,string
2/28/2016 2:45,49.8,string
2/28/2016 3:00,50.4,string
2/28/2016 3:15,50.4,string
2/28/2016 3:30,48.6,string
2/28/2016 3:45,49.2,string
2/28/2016 4:00,49.2,string
2/28/2016 4:15,46.8,string
2/28/2016 4:30,49.2,string
2/28/2016 4:45,49.8,string
2/28/2016 5:00,50.4,string
2/28/2016 5:15,49.2,string
2/28/2016 5:30,51.6,string
2/28/2016 5:45,51,string
2/28/2016 6:00,52.2,string
2/28/2016 6:15,51,string
2/28/2016 6:30,48,string
2/28/2016 6:45,47.4,string
2/28/2016 7:00,47.4,string
2/28/2016 7:15,48,string
2/28/2016 7:30,46.2,string
2/28/2016 7:45,45.6,string
2/28/2016 8:00,46.2,string
2/28/2016 8:15,46.2,string
2/28/2016 8:30,44.4,string
2/28/2016 8:45,45.6,string
2/28/2016 9:00,46.2,string
2/28/2016 9:15,47.4,string
2/28/2016 9:30,45.6,string
2/28/2016 9:45,44.4,string
2/28/2016 10:00,45.6,string
2/28/2016 10:15,46.8,string
2/28/2016 10:30,49.2,string
2/28/2016 10:45,46.8,string
2/28/2016 11:00,46.8,string
2/28/2016 11:15,47.4,string
2/28/2016 11:30,46.2,string
2/28/2016 11:45,49.8,string
2/28/2016 12:00,53.4,string
2/28/2016 12:15,54,string
2/28/2016 12:30,50.4,string
2/28/2016 12:45,60,string
2/28/2016 13:00,67.8,string
2/28/2016 13:15,64.8,string
2/28/2016 13:30,64.2,string
2/28/2016 13:45,60.6,string
2/28/2016 14:00,52.8,string
2/28/2016 14:15,55.2,string
2/28/2016 14:30,57.6,string
2/28/2016 14:45,57,string
2/28/2016 15:00,59.4,string
2/28/2016 15:15,58.2,string
2/28/2016 15:30,58.2,string
2/28/2016 15:45,56.4,string
2/28/2016 16:00,55.8,string
2/28/2016 16:15,54.6,string
2/28/2016 16:30,55.8,string
2/28/2016 16:45,56.4,string
2/28/2016 17:00,54.6,string
2/28/2016 17:15,52.2,string
2/28/2016 17:30,51,string
2/28/2016 17:45,51.6,string
2/28/2016 18:00,52.8,string
2/28/2016 18:15,54.6,string
2/28/2016 18:30,53.4,string
2/28/2016 18:45,53.4,string
2/28/2016 19:00,51.6,string
2/28/2016 19:15,51.6,string
2/28/2016 19:30,53.4,string
2/28/2016 19:45,52.2,string
2/28/2016 20:00,51,string
2/28/2016 20:15,51,string
2/28/2016 20:30,51,string
2/28/2016 20:45,52.8,string
2/28/2016 21:00,53.4,string
2/28/2016 21:15,52.2,string
2/28/2016 21:30,51,string
2/28/2016 21:45,48.6,string
2/28/2016 22:00,51,string
2/28/2016 22:15,49.2,string
2/28/2016 22:30,49.2,string
2/28/2016 22:45,50.4,string
2/28/2016 23:00,47.4,string
2/28/2016 23:15,49.2,string
2/28/2016 23:30,49.2,string
2/28/2016 23:45,49.2,string
2/29/2016 0:00,48,string
2/29/2016 0:15,49.2,string
2/29/2016 0:30,49.2,string
2/29/2016 0:45,48.6,string
2/29/2016 1:00,48,string
2/29/2016 1:15,48.6,string
2/29/2016 1:30,49.8,string
2/29/2016 1:45,49.8,string
2/29/2016 2:00,47.4,string
2/29/2016 2:15,48.6,string
2/29/2016 2:30,49.2,string
2/29/2016 2:45,50.4,string
2/29/2016 3:00,49.2,string
2/29/2016 3:15,47.4,string
2/29/2016 3:30,48,string
2/29/2016 3:45,49.2,string
2/29/2016 4:00,52.8,string
2/29/2016 4:15,51.6,string
2/29/2016 4:30,51,string
2/29/2016 4:45,49.8,string
2/29/2016 5:00,48.6,string
2/29/2016 5:15,56.4,string
2/29/2016 5:30,55.2,string
2/29/2016 5:45,61.2,string
2/29/2016 6:00,61.2,string
2/29/2016 6:15,63.6,string
2/29/2016 6:30,66,string
2/29/2016 6:45,72,string
2/29/2016 7:00,72.6,string
2/29/2016 7:15,69.6,string
2/29/2016 7:30,72,string
2/29/2016 7:45,73.2,string
2/29/2016 8:00,67.2,string
2/29/2016 8:15,70.2,string
2/29/2016 8:30,72.6,string
2/29/2016 8:45,77.4,string
2/29/2016 9:00,79.2,string
2/29/2016 9:15,83.4,string
2/29/2016 9:30,79.8,string
2/29/2016 9:45,73.2,string
2/29/2016 10:00,73.2,string
2/29/2016 10:15,81.6,string
2/29/2016 10:30,78.6,string
2/29/2016 10:45,82.2,string
2/29/2016 11:00,82.2,string
2/29/2016 11:15,82.8,string
2/29/2016 11:30,87.6,string
2/29/2016 11:45,86.4,string
2/29/2016 12:00,93,string
2/29/2016 12:15,90,string
2/29/2016 12:30,100.2,string
2/29/2016 12:45,96.6,string
2/29/2016 13:00,90,string
2/29/2016 13:15,99,string
2/29/2016 13:30,94.8,string
2/29/2016 13:45,100.2,string
2/29/2016 14:00,97.8,string
2/29/2016 14:15,99,string
2/29/2016 14:30,99,string
2/29/2016 14:45,105,string
2/29/2016 15:00,98.4,string
2/29/2016 15:15,96.6,string
2/29/2016 15:30,94.8,string
2/29/2016 15:45,87,string
2/29/2016 16:00,90,string
2/29/2016 16:15,91.2,string
2/29/2016 16:30,87.6,string
2/29/2016 16:45,85.8,string
2/29/2016 17:00,85.2,string
2/29/2016 17:15,83.4,string
2/29/2016 17:30,83.4,string
2/29/2016 17:45,79.2,string
2/29/2016 18:00,76.2,string
2/29/2016 18:15,72,string
2/29/2016 18:30,74.4,string
2/29/2016 18:45,70.8,string
2/29/2016 19:00,70.8,string
2/29/2016 19:15,69,string
2/29/2016 19:30,69.6,string
2/29/2016 19:45,67.8,string
2/29/2016 20:00,66.6,string
2/29/2016 20:15,63,string
2/29/2016 20:30,68.4,string
2/29/2016 20:45,69,string
2/29/2016 21:00,71.4,string
2/29/2016 21:15,70.2,string
2/29/2016 21:30,70.2,string
2/29/2016 21:45,67.8,string
2/29/2016 22:00,60,string
2/29/2016 22:15,61.8,string
